,gameId,season,role,lane,accountId
78,4214510083,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
79,4214257445,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
80,4214300686,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
81,4213991159,13,SOLO,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
82,4213865508,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
83,4213441509,13,DUO_SUPPORT,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
84,4212778061,13,DUO_SUPPORT,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
85,4212617083,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
86,4211647338,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
87,4211663289,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
88,4211526181,13,NONE,JUNGLE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
89,4211418387,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
90,4211344801,13,SOLO,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
91,4210427204,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
92,4210322448,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
93,4209372132,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
94,4209234345,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
95,4209052195,13,DUO,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
96,4208873115,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
97,4208646221,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
98,4208432716,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
99,4208294656,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
0,4258849234,13,SOLO,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
1,4258833511,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
2,4258774433,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
3,4258644986,13,DUO_SUPPORT,BOTTOM,7JKrpNmHAW6w9y28naNUOR9RSFo08TOR0g7BkjGY945jvao
