win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
견 백,0,6,5,5,3,1,1,690,0,0,0,0,0,178260,8511,147379,22369,0,15826,0,11959,3867,15113,1,19564,24694,1693,37,17,32387,6605,22418,3363,12582,12325,0,0,32,165,111,5,313,15,8,0,7,11,0,0,0,1,0,0,0.5,1.1,1.1,411.3,487,372.5,354.70000000000005,422.3,379.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
담원 하리보,1,3,2,3,3,1,1,501,0,0,0,0,0,68658,0,53777,14880,0,7779,0,6719,1060,1392,1,7836,3776,3776,18,12,11138,4340,6699,98,7357,5550,1,0,110,10,0,6,157,10,4,0,9,1,0,0,1,0,NaN,7.8,NaN,518.1,NaN,464.5,NaN,41.82000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ekkkko King,1,1,7,11,0,1,0,608,0,0,0,0,0,22745,8745,6535,7464,0,5204,2579,1606,1017,939,1,23465,1806,1099,78,24,18239,4951,11571,1716,8280,8100,0,0,41,0,0,0,59,13,16,0,33,14,0,0,0,0,0,0,1.4,1.4,1.3,216.3,355.1,263.6,172.89999999999998,280.3,228.5,-41.55000000000001,29.19999999999999,-3.1499999999999773,NaN,NaN,NaN,NaN,NaN,NaN
Axiyo,0,0,11,13,0,0,0,617,0,0,0,0,0,200881,7377,172628,20875,580,24161,3045,20825,291,4384,4,20435,8324,2931,43,6,28528,10537,17171,820,13028,12600,0,0,248,26,22,0,99,16,5,0,15,13,0,0,0,0,0,0,7.8,7.9,3.5,311,385.1,387.9,263.1,348.5,340.1,20.500000000000014,23.049999999999983,-228.7,NaN,NaN,NaN,NaN,NaN,NaN
출사표를 던지다,1,5,0,9,5,2,1,0,1,0,0,0,0,90220,3868,72562,13789,0,6769,0,5114,1654,8513,1,7143,19027,700,17,12,12096,818,11062,215,6836,4975,0,0,3,80,39,21,254,10,5,0,4,2,0,0,0,0,NaN,0.1,NaN,379.70000000000005,NaN,424.3,NaN,52.17999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lego66,1,9,5,13,4,2,3,421,1,0,0,0,0,136738,18251,117313,1174,0,23300,2491,19652,1156,5397,1,9221,13788,4632,54,6,17280,9385,7480,415,13066,11425,2,0,150,26,10,1,137,15,7,0,22,9,0,0,0,0,0,1,6.5,3.1,5,416.9,310.9,618.6,294.5,316.7,538.6,-51.20000000000002,-100.59999999999998,131.9,NaN,NaN,NaN,NaN,NaN,NaN
Lego77,0,4,9,9,2,2,1,564,1,0,0,0,0,28186,6563,12958,8664,0,7158,1751,3773,1633,642,1,40009,1593,34,72,28,24242,9157,13988,1096,9421,8875,0,0,50,0,0,0,132,15,7,0,41,6,0,0,0,0,0,0,2.1,1.6,0.9,248.9,383.5,522.8,160,352.4,279.7,-138.39999999999998,-90.1,-0.09999999999999432,NaN,NaN,NaN,NaN,NaN,NaN
단군의청춘부재,0,0,11,4,0,0,0,401,0,0,0,0,0,46329,2365,43398,566,0,9483,565,8351,566,2296,1,8626,0,0,23,15,18641,11885,5922,833,5291,4725,0,0,89,0,0,0,105,10,3,0,10,3,0,0,0,0,0,0,6,2.9,NaN,384.6,222.6,NaN,244.8,204.6,NaN,-41.75,-161.04999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Doinb,1,4,3,10,3,1,1,548,0,0,0,0,0,42374,14371,20209,7793,0,7894,3821,3478,594,1248,4,15026,1765,1085,40,31,12978,3276,9701,0,7147,6775,0,0,38,5,4,1,192,11,5,0,20,5,0,0,0,0,0,0,1.6,2.1,NaN,293.70000000000005,397.1,NaN,211.9,385.6,NaN,45.3,157.29999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,5,1,6,4,1,1,170,0,0,0,0,0,123008,800,101037,21170,0,11948,800,9051,2095,1679,1,15311,16985,6939,23,13,16130,5682,10263,184,11390,10908,1,0,171,16,4,4,117,15,1,0,9,2,1,0,0,0,NaN,6.699999999999999,8,NaN,447.1,517.5,NaN,337.70000000000005,467.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Doinb,1,0,6,21,0,0,0,437,0,0,0,0,0,35324,25210,3876,6237,0,7577,6794,169,614,1769,1,35641,2409,1863,78,42,20898,5632,14665,600,8642,7650,1,0,40,4,0,0,86,15,10,0,38,10,0,0,0,0,0,1,1.3,1.2999999999999998,0.4,242.10000000000002,311.2,412.79999999999995,164.7,233.89999999999998,285.3,-26.25,43.69999999999999,65.20000000000002,NaN,NaN,NaN,NaN,NaN,NaN
JustLikeThatKR,1,7,3,16,4,2,2,744,1,0,0,0,0,211674,169596,28873,13204,0,15073,13118,1264,690,27158,5,22375,49597,1358,51,3,30488,6057,24238,192,14176,13500,1,0,25,173,96,23,141,16,4,0,22,12,0,0,1,0,0,1,0.6,0.8999999999999999,0.8,336.6,456.7,561.6,313.7,401.9,478.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
