summonerName,item0,item1,item2,item3,item4,item5,item6,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk1,statPerk2,championId,spell1Id,spell2Id,role,lane
Nukeduck,Seraph's Embrace,Luden's Tempest,Rabadon's Deathcap,Fiendish Codex,Void Staff,Horizon Focus,Poro-Snax,DarkHarvest,NaN,NaN,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,ManaflowBand,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Orianna,Heal,Flash,DUO_SUPPORT,TOP
Nukeduck,Sorcerer's Shoes,Luden's Tempest,Nashor's Tooth,NaN,NaN,NaN,Poro-Snax,LethalTempo,NaN,,,Overheal,NaN,NaN,,LegendBloodline,NaN,NaN,,CoupDeGrace,NaN,,,UltimateHunter,NaN,,,TasteOfBlood,NaN,,,NaN,NaN,NaN,NaN,Lulu,Heal,Flash,DUO_SUPPORT,NONE
Patrik,Berserker's Greaves,Muramana,The Collector,Infinity Edge,Galeforce,Bloodthirster,Farsight Alteration,LethalTempo,NaN,NaN,,PresenceOfMind,NaN,,,LegendBloodline,NaN,,,CutDown,NaN,,,ManaflowBand,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Sivir,Flash,Heal,DUO_CARRY,BOTTOM
Patrik,Boots,Refillable Potion,Sunfire Aegis,Cloth Armor,NaN,NaN,Oracle Lens,Aftershock,NaN,,,FontOfLife,NaN,,,Conditioning,NaN,NaN,NaN,Unflinching,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,,,,NaN,NaN,NaN,NaN,Rammus,Flash,Smite,DUO_SUPPORT,NONE
Jankos,Minion Dematerializer,NaN,NaN,Sheen,Slightly Magical Footwear,Long Sword,Stealth Ward,NaN,NaN,,,MagicalFootwear,NaN,,,MinionDematerializer,NaN,,,ApproachVelocity,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,NaN,NaN,NaN,NaN,Trundle,Barrier,Flash,DUO_SUPPORT,NONE
Jankos,Youmuu's Ghostblade,NaN,Minion Dematerializer,Dagger,Boots of Swiftness,Sheen,Stealth Ward,NaN,NaN,NaN,,MagicalFootwear,NaN,NaN,,MinionDematerializer,NaN,,,ApproachVelocity,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,NaN,NaN,NaN,NaN,Darius,Ghost,Flash,DUO_SUPPORT,NONE
Caps,Hextech Rocketbelt,Sorcerer's Shoes,Zhonya's Hourglass,Amplifying Tome,NaN,NaN,Poro-Snax,ArcaneComet,NaN,,,NullifyingOrb,NaN,,,Celerity,NaN,,,Scorch,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Kennen,Mark,Flash,DUO_SUPPORT,NONE
Caps,Abyssal Mask,Sorcerer's Shoes,Spirit Visage,Warmog's Armor,Bramble Vest,NaN,Poro-Snax,GraspOfTheUndying,NaN,NaN,,ShieldBash,NaN,,,SecondWind,NaN,,,Unflinching,,,,Celerity,NaN,,,Scorch,NaN,,,NaN,NaN,NaN,NaN,Gragas,Mark,Flash,DUO_SUPPORT,TOP
Mikyx,Guardian's Orb,Demonic Embrace,Sorcerer's Shoes,Luden's Tempest,Fiendish Codex,Kindlegem,Poro-Snax,ArcaneComet,NaN,,,ManaflowBand,NaN,NaN,,AbsoluteFocus,NaN,,,Scorch,NaN,,,PresenceOfMind,NaN,,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Xerath,Barrier,Flash,DUO_SUPPORT,NONE
Mikyx,Guardian's Hammer,Kraken Slayer,Berserker's Greaves,Runaan's Hurricane,Pickaxe,B. F. Sword,Poro-Snax,PressTheAttack,NaN,NaN,NaN,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,GatheringStorm,NaN,,,AbsoluteFocus,NaN,NaN,,NaN,NaN,NaN,NaN,Twitch,Heal,Flash,DUO,NONE
