summonerName,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Axiyo,Blade of The Ruined King,Black Cleaver,Essence Reaver,Pickaxe,Doran's Blade,Plated Steelcaps,Farsight Alteration,PressTheAttack,NaN,NaN,NaN,Overheal,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,NimbusCloak,NaN,,,AbsoluteFocus,NaN,,,NaN,NaN,NaN,NaN,Lucian,Flash,Heal,DUO_CARRY,BOTTOM
출사표를 던지다,NaN,Refillable Potion,Kindlegem,NaN,Plated Steelcaps,NaN,Oracle Lens,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,NimbusCloak,NaN,,,Waterwalking,NaN,NaN,,NaN,NaN,NaN,NaN,Rek'Sai,Smite,Flash,DUO_SUPPORT,NONE
Lego66,Youmuu's Ghostblade,Corrupting Potion,Serrated Dirk,Plated Steelcaps,Umbral Glaive,NaN,Oracle Lens,Electrocute,NaN,,,TasteOfBlood,NaN,,,ZombieWard,NaN,NaN,,RavenousHunter,NaN,NaN,,BiscuitDelivery,NaN,,,TimeWarpTonic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Jayce,Flash,Ignite,SOLO,MIDDLE
Lego77,Locket of the Iron Solari,Pauldrons of Whiterock,Gargoyle Stoneplate,Knight's Vow,Plated Steelcaps,NaN,Oracle Lens,Aftershock,NaN,,,ShieldBash,NaN,,,BonePlating,NaN,,,Overgrowth,NaN,,,CosmicInsight,,,,PerfectTiming,,,,NaN,NaN,NaN,NaN,Shen,Ignite,Flash,SOLO,TOP
단군의청춘부재,Youmuu's Ghostblade,Corrupting Potion,NaN,NaN,NaN,Mercury's Treads,Stealth Ward,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendTenacity,,,,CoupDeGrace,NaN,,,BiscuitDelivery,NaN,,,TimeWarpTonic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Pantheon,Ignite,Flash,DUO,TOP
Doinb,Pauldrons of Whiterock,Control Ward,Abyssal Mask,Sunfire Aegis,Slightly Magical Footwear,NaN,Oracle Lens,Aftershock,NaN,,,FontOfLife,NaN,,,Conditioning,NaN,NaN,NaN,Overgrowth,NaN,,,MagicalFootwear,NaN,NaN,NaN,CosmicInsight,,,,NaN,NaN,NaN,NaN,Ornn,Ignite,Flash,DUO_SUPPORT,BOTTOM
Thal Youtube구독,Mercury's Treads,Broken Stopwatch,Ravenous Hydra,Trinity Force,Doran's Blade,NaN,Stealth Ward,MasterKey,NaN,NaN,NaN,MagicalFootwear,NaN,NaN,NaN,BiscuitDelivery,NaN,,,CosmicInsight,,,,ShieldBash,NaN,,,BonePlating,NaN,,,NaN,NaN,NaN,NaN,Camille,Flash,Teleport,DUO,MIDDLE
Doinb,Bulwark of the Mountain,NaN,Gargoyle Stoneplate,Control Ward,Plated Steelcaps,NaN,Oracle Lens,Aftershock,NaN,,,Demolish,NaN,,,BonePlating,NaN,,,Overgrowth,NaN,,,NimbusCloak,NaN,,,Transcendence,,,,NaN,NaN,NaN,NaN,Galio,Ignite,Flash,DUO_SUPPORT,BOTTOM
JustLikeThatKR,Zhonya's Hourglass,NaN,Ardent Censer,Plated Steelcaps,NaN,Needlessly Large Rod,Oracle Lens,Electrocute,NaN,,,SuddenImpact,NaN,,,ZombieWard,NaN,NaN,,RelentlessHunter,NaN,NaN,,NimbusCloak,NaN,,,Waterwalking,NaN,NaN,,NaN,NaN,NaN,NaN,Nidalee,Smite,Flash,DUO_SUPPORT,TOP
Lego66,Youmuu's Ghostblade,Corrupting Potion,Control Ward,Umbral Glaive,NaN,Boots,Oracle Lens,Electrocute,NaN,,,TasteOfBlood,NaN,,,ZombieWard,NaN,NaN,,RavenousHunter,NaN,NaN,,BiscuitDelivery,NaN,,,TimeWarpTonic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Jayce,Flash,Ignite,DUO,MIDDLE
